id,RFII-Score,Dossierstruktur,Dossier.Art,Produkt.letzte.Dossierversion,Personenhaushalt..Unterstützungseinheit.,Personen.im.Haushalt.gesamt,Personenkategorie,Zivilstand,Nationalität.Kategorien,in.CH.seit.Geb.,Alterskategorien,Erwerbssituation,Beschäftigungsgrad,Grund.Teilzeit,höchste.abgeschlossene.Ausbildung,Erlernter.Beruf.Kategorie,letzte.berufliche.Tätigkeit.Kategorie
id02286,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,ledig,EU / EFTA,FALSE,26-35,Arbeit auf Abruf,Mehrere Teilzeitstellen,NA,obligatorische Schule,kein | keine,Reinigungspersonal und Hilfskräfte
id00553,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,geschieden,EU / EFTA,FALSE,46-55,"Haushalt, familiäre Gründe",NA,NA,obligatorische Schule,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id02768,0.982905983,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,EU / EFTA,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Allgemeine Büro- und Sekretariatskräfte
id03251,0.919834711,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Asien,FALSE,36-45,NA,NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeitskräfte, onA"
id00879,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,verheiratet,Afrika,FALSE,36-45,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,nicht feststellbar,kein | keine,kein | keine
id00645,0.91875,Sozialhilfe,Ausländer/innen,Rückerstattung,1,Mehrfachhaushalt (>3),Alleinstehend,geschieden,Afrika,FALSE,46-55,"Angestellt, regelmässig",Vollzeit(90+),NA,obligatorische Schule,kein | keine,"Hilfsarbeitskräfte, onA"
id04619,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Paar ohne Kind / Kinder,verheiratet,Restliches Europa,FALSE,56-65,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,NA
id04852,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (>3),Paar ohne Kind / Kinder,verheiratet,Restliches Europa,FALSE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,NA
id01225,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,geschieden,Restliches Europa,FALSE,36-45,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),Krankheit,obligatorische Schule,kein | keine,Reinigungspersonal und Hilfskräfte
id02686,1,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,Afrika,FALSE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft"
id00222,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,geschieden,Restliches Europa,FALSE,36-45,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,kein | keine
id00071,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Restliches Europa,FALSE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Universität/Hochschule/Fachhochschule,kein | keine,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id00760,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Restliches Europa,FALSE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,nicht feststellbar,kein | keine,kein | keine
id02150,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,verheiratet,Restliches Europa,FALSE,36-45,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,"Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte"
id03116,0.954070981,Sozialhilfe,Kopfquote,Sozialhilfeleistung,3,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Restliches Europa,FALSE,36-45,Arbeit auf Abruf,Eine Teilzeitstelle (50-89%),"Haushalt, familiäre Gründe",obligatorische Schule,kein | keine,Hilfskräfte in der Nahrungsmittelzubereitung
id01414,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,EU / EFTA,FALSE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Elektriker und Elektroniker
