id,prob.low.willingness
id02286,0.954070981
id00553,0.91875
id02768,0.982905983
id03251,0.919834711
id00879,0.91875
id00645,0.91875
id04619,0.91875
id04852,0.954070981
id01225,0.91875
id02686,1
id00222,0.954070981
id00071,0.954070981
id00760,0.954070981
id02150,0.954070981
id03116,0.954070981
id01414,0.954070981
id01147,0.954070981
id02616,0.954070981
id03732,0.91875
id02914,0.954070981
id02324,0.954070981
id02045,0.91875
id04281,0.982905983
id04879,0.982905983
id04659,0.982905983
id03172,0.982905983
id03026,0.954070981
id04862,0.982905983
id01655,0.982905983
id02165,0.982905983
id02198,0.91875
id01777,0.982905983
id00204,0.982905983
id02531,0.982905983
id04308,0.982905983
id02357,0.982905983
id03254,0.982905983
id04769,0.982905983
id00609,0.982905983
id02805,0.91875
id04216,0.982905983
id01636,0.982905983
id01891,0.982905983
id01812,0.954070981
id00244,0.982905983
id04691,0.954070981
id00812,0.982905983
id02718,0.982905983
id04819,0.982905983
id03770,0.982905983
id00098,0.954070981
id02847,0.982905983
id03125,0.982905983
id00378,0.982905983
id03394,0.982905983
id02980,0.982905983
id00223,0.982905983
id00061,0.954070981
id01261,0.982905983
id02683,0.982905983
id01969,0.982905983
id02515,0.982905983
id03046,0.982905983
id03647,0.982905983
id02802,0.91875
id03773,0.982905983
id04270,0.982905983
id03557,0.982905983
id04570,0.982905983
id03037,0.982905983
id00065,0.982905983
id04027,0.954070981
id01178,0.91875
id02108,0.954070981
id04753,0.91875
id02792,0.982905983
id00778,0.91875
id04932,0.982905983
id04246,0.982905983
id04420,0.982905983
id00294,0.982905983
id01677,0.982905983
id04060,0.982905983
id03463,0.982905983
id01601,0.91875
id04746,0.982905983
id04750,0.982905983
id03348,0.91875
id04239,0.982905983
id04836,0.954070981
id02452,0.954070981
id03476,0.919834711
id02795,0.982905983
id03829,0.982905983
id00652,0.954070981
id04944,0.91875
id03069,0.954070981
id00656,0.954070981
id00154,0.954070981
id02387,0.954070981
id03143,0.982905983
id02462,0.91875
id04705,0.91875
id04241,0.982905983
id03498,0.982905983
id04740,0.954070981
id01712,0.982905983
id02042,0.982905983
id02814,0.954070981
id03347,0.982905983
id00471,0.954070981
id01186,0.982905983
id01758,0.982905983
id00160,0.982905983
id04088,0.982905983
id00535,0.919834711
id04555,0.982905983
id00351,0.982905983
id02301,0.954070981
id00172,0.91875
id04871,0.91875
id03390,0.91875
id01967,0.954070981
id00302,0.954070981
id00435,0.982905983
id01917,0.954070981
id04302,0.954070981
id04484,0.954070981
id02254,0.954070981
id02560,0.919834711
id02385,0.91875
id02540,1
id02947,1
id04578,1
id01170,0.91875
id01709,0.91875
id01943,0.954070981
id03719,0.954070981
id00277,0.954070981
id04489,0.91875
id01289,1
id04933,1
id03735,0.91875
id00971,0.91875
id04400,0.91875
id03458,0.954070981
id04820,1
id01899,0.919834711
id02989,1
id02901,0.954070981
id04014,0.91875
id04346,0.91875
id04405,0.954070981
id03713,0.91875
id04782,0.954070981
id02171,0.954070981
id02956,0.91875
id01995,0.954070981
id00013,0.91875
id02634,0.954070981
id04003,0.954070981
id03020,0.919834711
id00039,0.919834711
id03784,0.954070981
id03828,0.919834711
id00676,0.91875
id03859,0.91875
id01705,0.954070981
id02417,0.954070981
id01866,0.91875
id04586,0.91875
id00913,0.91875
id01086,0.91875
id01567,1
id03755,1
id00956,0.91875
id01142,1
id04715,0.91875
id01098,1
id03139,1
id03447,1
id04267,0.919834711
id02095,1
id02490,0.91875
id03147,0.982905983
id03012,0.982905983
id02554,1
id03807,0.91875
id04605,0.91875
id04382,0.954070981
id02819,0.982905983
id00794,0.954070981
id02410,0.954070981
id03362,0.91875
id02378,0.982905983
id04255,0.91875
id01385,0.954070981
id01587,0.919834711
id01180,0.91875
id00376,0.91875
id02129,0.954070981
id03087,0.982905983
id04095,0.91875
id03721,1
id01105,0.919834711
id04851,0.91875
id01218,0.954070981
id04194,0.954070981
id04811,0.954070981
id02726,0.91875
id01430,0.954070981
id01229,0.91875
id01759,0.91875
id04749,0.91875
id03018,0.954070981
id03058,0.982905983
id03328,0.982905983
id04897,0.982905983
id03131,0.91875
id01787,0.982905983
id00865,0.982905983
id04664,0.982905983
id03786,0.982905983
id01355,0.954070981
id00732,0.982905983
id00936,0.982905983
id04531,0.982905983
id02062,0.982905983
id02709,0.982905983
id02453,0.982905983
id01700,0.982905983
id00177,0.982905983
id01590,0.982905983
id00682,0.954070981
id01363,0.982905983
id00437,0.982905983
id04752,0.919834711
id04103,0.982905983
id00346,0.982905983
id02639,0.982905983
id04458,0.982905983
id01269,0.91875
id02105,0.982905983
id00534,0.954070981
id02688,0.982905983
id03626,0.982905983
id03509,0.982905983
id02195,0.919834711
id03930,0.91875
id00103,0.982905983
id02916,0.982905983
id02615,0.982905983
id01477,0.982905983
id01500,0.982905983
id03717,0.982905983
id03576,0.982905983
id01431,0.91875
id02072,0.982905983
id01364,0.982905983
id01630,0.982905983
id00925,0.982905983
id02875,0.91875
id01358,0.91875
id02921,0.982905983
id01713,0.982905983
id04384,0.982905983
id00040,0.982905983
id02056,0.982905983
id00359,0.91875
id02676,0.982905983
id03611,0.954070981
id03170,0.982905983
id04611,0.982905983
id02434,0.982905983
id02167,0.982905983
id04927,0.91875
id03789,0.982905983
id02124,0.982905983
id04854,0.982905983
id01155,0.982905983
